JCR Year and Edition: 2011 Social Science

Abbreviated Journal Title;ISSN;{2011} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2011} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
INT J CONFL MANAGE;1044-4068;392;0.250;0.641;0.000;16;>10.0;0.00028;0.165;
TELEV NEW MEDIA;1527-4764;134;0.219;;0.120;25;5.8;0.00060;;
CONTINUUM-J MEDIA CU;1030-4312;121;0.216;;0.161;62;3.9;0.00059;;
COMUN SOC-NAVARRA;0214-0039;25;0.205;;0.038;26;;0.00006;;
TIJDSCHR COMMUNWET;1384-6930;17;0.195;;0.000;23;;0.00004;;
MEDIA INT AUST;1329-878X;90;0.189;;0.033;61;;0.00028;;
COMMUNICATIONS-GER;0341-2059;91;0.186;;0.050;20;;0.00046;;
ESTUD MENSAJE PERIOD;1134-1629;30;0.145;;0.000;37;;0.00000;;
ECQUID NOVI-AFR JOUR;0256-0054;31;0.143;;0.000;18;;0.00014;;
RHETOR SOC Q;0277-3945;70;0.135;;0.000;23;;0.00007;;
JAVNOST-PUBLIC;1318-3222;112;0.132;0.385;0.037;27;6.0;0.00045;0.172;

