JCR Year and Edition: 2005 Social Science

Abbreviated Journal Title;ISSN;{2005} Total Cites;Impact Factor;Immediacy Index;{2005} Articles;Cited Half-Life
ETHNIC RACIAL STUD;0141-9870;590;0.464;0.195;41;6.8;
J SOCIOL;1440-7833;87;0.455;0.100;20;;
CONTEMP SOCIOL;0094-3061;155;0.444;0.111;18;5.9;
KOLNER Z SOZIOL SOZ;0023-2653;222;0.436;0.160;25;9.1;
J LAW SOC;0263-323X;143;0.431;0.120;25;6.9;
INT J INTERCULT REL;0147-1767;525;0.429;0.000;36;9.5;
MEDIA CULT SOC;0163-4437;227;0.429;0.026;38;6.9;
SOCIOL QUART;0038-0253;637;0.429;0.133;30;>10.0;
J CONTEMP ETHNOGR;0891-2416;264;0.423;0.000;25;9.2;
SOCIOL INQ;0038-0245;295;0.423;0.087;23;>10.0;
SOCIOL SPECTRUM;0273-2173;134;0.422;0.061;33;6.8;
RACE CLASS;0306-3968;159;0.421;0.042;24;>10.0;
EUR SOC;1461-6696;79;0.417;0.045;22;;
ACTA SOCIOL;0001-6993;246;0.405;0.053;19;8.5;
INT SOCIOL;0268-5809;149;0.404;0.143;21;7.2;
SOCIOL FORUM;0884-8971;340;0.385;0.115;26;9.6;
CAN J SOCIOL;0318-6431;173;0.383;0.312;16;5.8;
Z SOZIOL;0340-1804;148;0.375;0.087;23;9.9;
SOZ WELT;0038-6073;112;0.333;0.067;15;10.0;
SOCIOL RELIG;1069-4404;201;0.326;0.056;18;6.9;
ARMED FORCES SOC;0095-327X;178;0.319;0.056;18;9.4;
REV FR SOCIOL;0035-2969;155;0.311;0.073;41;8.2;
SYMB INTERACT;0195-6086;360;0.311;;;>10.0;
J HIST SEXUALITY;1043-4070;100;0.306;0.000;8;9.8;
REV RELIG RES;0034-673X;236;0.298;0.000;32;>10.0;
J HIST SOCIOL;0952-1909;101;0.294;0.000;16;9.3;
SOCIOL RES ONLINE;1360-7804;171;0.286;0.244;41;5.9;
CAN REV SOC ANTHROP;0008-4948;177;0.267;0.050;20;>10.0;
SOC COMPASS;0037-7686;62;0.250;0.000;31;;
HUM STUD;0163-8548;160;0.244;0.000;14;>10.0;
RATION SOC;1043-4631;225;0.235;0.000;14;>10.0;
SOC ANIM;1063-1119;119;0.233;0.071;14;7.7;
BERL J SOZIOL;0863-1808;51;0.232;0.000;30;;
SOCIOLOGIA;0049-1225;54;0.195;0.160;25;;
INT J SOCIOL LAW;0194-6595;94;0.194;0.000;12;;
SOCIOL TRAV;0038-0296;112;0.188;0.125;24;8.2;
SOTSIOL ISSLED+;0132-1625;266;0.182;0.014;209;4.5;
ARCH EUR SOCIOL;0003-9756;80;0.167;0.300;10;;
SOCIETY;0147-2011;133;0.119;0.000;61;8.9;
SOCIOL CAS;0038-0288;50;0.113;0.000;41;;
AM J ECON SOCIOL;0002-9246;168;0.094;0.268;41;8.2;
DRUS ISTRAZ;1330-0288;33;0.079;0.000;41;;
CHINESE SOC ANTHROP;0009-4625;5;0.074;0.143;7;;
J POLIT MIL SOCIOL;0047-2697;51;0.069;0.000;16;;
CONTRIB INDIAN SOC;0069-9667;24;0.065;0.000;9;;
STUD SYMB INTERACT;0163-2396;51;0.062;;;;
SOCIOL FORSKNIN;0038-0342;15;0.000;0.125;8;;
SOCIOL THEOR METHOD;0913-1442;5;0.000;0.000;8;;

