JCR Year and Edition: 2008 Social Science

Abbreviated Journal Title;ISSN;{2008} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2008} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
COMP STUD SOC HIST;0010-4175;579;0.484;0.459;0.103;39;>10.0;0.00129;0.371;
CONTEMP SOCIOL;0094-3061;213;0.481;0.444;0.000;3;8.8;0.00033;0.239;
REV RELIG RES;0034-673X;373;0.446;0.703;0.026;38;>10.0;0.00105;0.328;
SYMB INTERACT;0195-6086;506;0.438;0.576;0.043;23;>10.0;0.00099;0.282;
SOCIOL CAS;0038-0288;96;0.427;0.314;0.091;33;;0.00050;0.116;
SOCIOL FORUM;0884-8971;543;0.423;0.577;0.206;34;>10.0;0.00097;0.336;
ARMED FORCES SOC;0095-327X;237;0.417;0.561;0.061;33;9.8;0.00059;0.201;
HUM STUD;0163-8548;210;0.395;0.376;0.000;19;>10.0;0.00028;0.124;
MEN MASC;1097-184X;163;0.393;;0.032;31;6.3;0.00074;;
CAN J SOCIOL;0318-6431;174;0.382;0.577;;;8.1;0.00075;0.347;
SOCIOL RES ONLINE;1360-7804;242;0.376;0.440;0.043;23;6.9;0.00117;0.243;
CAN REV SOCIOL;1755-6171;216;0.368;0.476;0.000;14;>10.0;0.00045;0.196;
SOCIOL PERSPECT;0731-1214;446;0.358;0.850;0.000;35;10.0;0.00139;0.522;
AM J ECON SOCIOL;0002-9246;283;0.349;0.364;0.000;39;9.7;0.00069;0.142;
SOCIOL SPECTRUM;0273-2173;158;0.317;0.514;0.030;33;6.6;0.00073;0.238;
SOC ANIM;1063-1119;214;0.293;0.765;0.111;18;8.2;0.00044;0.203;
INT J SOCIOL LAW;0194-6595;102;0.280;0.329;;0;>10.0;0.00033;0.195;
SOCIOL TRAV;0038-0296;162;0.231;0.339;0.083;24;>10.0;0.00017;0.063;
CHINESE SOC ANTHROP;0009-4625;12;0.229;0.149;0.000;16;;0.00011;0.068;
SOZ WELT;0038-6073;86;0.225;0.143;0.071;14;;0.00014;0.061;
DEVIANCE SOC;0378-7931;58;0.220;;0.000;25;;0.00012;;
J HIST SOCIOL;0952-1909;134;0.213;0.289;0.476;21;>10.0;0.00050;0.234;
SOC COMPASS;0037-7686;116;0.206;0.277;0.000;33;8.3;0.00035;0.099;
ARCH EUR SOCIOL;0003-9756;97;0.200;0.382;0.000;5;;0.00060;0.357;
DRUS ISTRAZ;1330-0288;142;0.196;0.245;0.038;53;6.6;0.00016;0.028;
SOCIETY;0147-2011;188;0.190;0.198;0.016;61;8.8;0.00058;0.085;
SOCIOLOGIA;0049-1225;64;0.175;0.151;0.000;21;;0.00006;0.027;
BERL J SOZIOL;0863-1808;68;0.173;0.181;0.038;26;;0.00017;0.055;
SOTSIOL ISSLED+;0132-1625;311;0.152;0.136;0.030;232;6.0;0.00135;0.056;
POL SOCIOL REV;1231-1413;22;0.118;;0.000;24;;0.00009;;
SOCIOL THEOR METHOD;0913-1442;3;0.069;0.029;0.000;14;;0.00001;0.005;
J HIST SEXUALITY;1043-4070;111;0.062;0.393;0.133;15;8.7;0.00036;0.194;
CONTRIB INDIAN SOC;0069-9667;46;0.045;0.338;0.200;10;;0.00034;0.234;
SOCIOL FORSKNIN;0038-0342;15;0.028;0.042;0.000;18;;0.00002;0.011;
CORNELL HOSP Q;1938-9655;3;;;0.061;33;;0.00000;;

