JCR Year and Edition: 2003 Social Science

Abbreviated Journal Title;ISSN;{2003} Total Cites;Impact Factor;Immediacy Index;{2003} Articles;Cited Half-Life
SOC ANIM;1063-1119;108;0.255;0.000;14;6.1;
SOCIOL TRAV;0038-0296;98;0.255;0.000;24;;
SOC BIOL;0037-766X;262;0.233;;;>10.0;
SOCIOL FORUM;0884-8971;239;0.233;0.037;27;8.5;
CONTEMP SOCIOL;0094-3061;118;0.214;;;5.7;
SOZ WELT;0038-6073;79;0.209;0.000;10;;
J POLIT MIL SOCIOL;0047-2697;55;0.200;;;;
SOCIOL INQ;0038-0245;251;0.200;0.185;27;>10.0;
INT SOCIOL;0268-5809;130;0.196;0.000;30;5.8;
SOTSIOL ISSLED+;0132-1625;223;0.184;0.067;193;3.7;
SOCIOL FORSKNIN;0038-0342;17;0.167;0.154;13;;
ARCH EUR SOCIOL;0003-9756;71;0.143;0.000;5;;
HUM STUD;0163-8548;104;0.128;0.105;19;>10.0;
J HIST SEXUALITY;1043-4070;64;0.125;0.000;10;;
SOCIOLOGIA;0049-1225;57;0.115;0.130;23;;
BERL J SOZIOL;0863-1808;38;0.103;0.000;20;;
INT J SOCIOL LAW;0194-6595;71;0.103;0.000;15;;
LOISIR SOC-SOC LEIS;0705-3436;60;0.100;0.000;11;;
SOCIETY;0147-2011;101;0.098;0.031;64;8.7;
REV FR SOCIOL;0035-2969;143;0.068;0.353;34;>10.0;
STUD SYMB INTERACT;0163-2396;68;0.068;;;;
DRUS ISTRAZ;1330-0288;35;0.065;0.000;40;;
SOCIOL CAS;0038-0288;15;0.063;;;;
SOC COMPASS;0037-7686;48;0.044;0.000;31;;
TEACH SOCIOL;0092-055X;51;0.043;;;;
CONTRIB INDIAN SOC;0069-9667;25;0.038;0.000;17;;
SOCIOL THEOR METHOD;0913-1442;1;0.033;0.000;13;;
CHINESE SOC ANTHROP;0009-4625;8;0.025;0.000;6;;

