JCR Year and Edition: 2009 Social Science

Abbreviated Journal Title;ISSN;{2009} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2009} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
RATION SOC;1043-4631;445;1.000;1.038;0.188;16;>10.0;0.00139;0.836;
SOCIOL METHODOL;0081-1750;1510;1.000;2.203;0.100;10;>10.0;0.00234;1.629;
YOUTH SOC;0044-118X;678;1.000;2.038;0.080;25;8.9;0.00161;0.736;
CULT SOCIOL;1749-9755;48;0.971;0.971;0.176;17;;0.00028;0.382;
J SCI STUD RELIG;0021-8294;1746;0.929;1.532;0.378;45;>10.0;0.00248;0.640;
INT SOCIOL;0268-5809;414;0.920;1.107;0.208;24;8.5;0.00122;0.479;
MOBILIZATION;1086-671X;342;0.911;;0.087;23;6.6;0.00158;;
INT J INTERCULT REL;0147-1767;1000;0.897;1.526;0.213;47;9.4;0.00165;0.403;
DEVIANT BEHAV;0163-9625;435;0.885;1.053;0.214;28;8.5;0.00093;0.341;
SOCIOL FORUM;0884-8971;782;0.879;1.022;0.590;39;>10.0;0.00168;0.588;
CONTEMP SOCIOL;0094-3061;225;0.875;0.345;0.214;14;9.8;0.00015;0.126;
SOCIOL SPORT J;0741-1235;748;0.870;1.274;0.111;27;>10.0;0.00070;0.286;
SOCIOL QUART;0038-0253;1148;0.864;1.420;0.107;28;>10.0;0.00286;0.849;
SOC INDIC RES;0303-8300;1877;0.835;1.264;0.116;173;8.2;0.00390;0.353;
J LEISURE RES;0022-2216;1007;0.831;1.440;0.367;30;>10.0;0.00118;0.421;
SCAND J HOSP TOUR;1502-2250;88;0.763;;0.190;21;;0.00022;;
ARMED FORCES SOC;0095-327X;552;0.762;1.021;0.125;32;>10.0;0.00067;0.227;
HUM ECOL REV;1074-4827;208;0.757;;0.600;20;6.8;0.00046;;
RACE CLASS;0306-3968;330;0.750;0.814;0.150;20;>10.0;0.00095;0.472;
MEDIA CULT SOC;0163-4437;683;0.741;1.186;0.023;43;9.0;0.00179;0.457;
BRIT J SOCIOL EDUC;0142-5692;703;0.720;1.022;0.102;49;8.0;0.00189;0.397;
J MATH SOCIOL;0022-250X;492;0.720;0.836;0.167;12;>10.0;0.00090;0.712;
SYMB INTERACT;0195-6086;772;0.702;1.048;0.067;15;>10.0;0.00136;0.449;
J SOCIOL;1440-7833;227;0.698;0.963;0.000;21;6.5;0.00078;0.346;
RURAL SOCIOL;0036-0112;811;0.694;1.352;0.087;23;>10.0;0.00125;0.493;
CORNELL HOTEL REST A;0010-8804;579;0.679;3.786;;0;9.5;0.00034;0.578;
CURR SOCIOL;0011-3921;487;0.674;;0.053;38;7.3;0.00247;;
SOCIOL RES ONLINE;1360-7804;348;0.667;0.768;0.093;43;6.5;0.00122;0.284;
BODY SOC;1357-034X;510;0.652;;0.160;25;8.7;0.00116;;
J CONTEMP ETHNOGR;0891-2416;449;0.630;1.038;0.000;24;9.9;0.00137;0.505;
SOCIOL PERSPECT;0731-1214;693;0.629;1.090;0.042;24;>10.0;0.00171;0.612;
SOCIOL INQ;0038-0245;578;0.604;1.207;0.182;22;>10.0;0.00129;0.514;
TEACH SOCIOL;0092-055X;382;0.582;0.599;0.034;29;>10.0;0.00013;0.044;
CAN REV SOCIOL;1755-6171;300;0.581;0.678;0.067;15;>10.0;0.00048;0.255;
EUR SOC;1461-6696;251;0.576;1.053;0.188;32;5.1;0.00127;0.463;
COMP STUD SOC HIST;0010-4175;821;0.562;0.515;0.233;30;>10.0;0.00105;0.307;
SOCIOL CAS;0038-0288;135;0.562;0.409;0.128;39;4.1;0.00036;0.089;
SOCIOL RELIG;1069-4404;380;0.561;0.794;0.118;17;9.4;0.00105;0.473;
MEN MASC;1097-184X;242;0.526;;0.071;28;6.8;0.00077;;
J LAW SOC;0263-323X;313;0.508;0.606;0.250;24;8.8;0.00044;0.154;
SOC ANIM;1063-1119;215;0.487;0.744;0.200;20;7.5;0.00049;0.259;
SOCIOL TRAV;0038-0296;160;0.340;0.371;0.158;19;8.6;0.00054;0.209;
DEVIANCE SOC;0378-7931;54;0.333;;0.000;27;;0.00023;;
SOCIOL SPECTRUM;0273-2173;223;0.328;0.588;0.031;32;7.1;0.00075;0.234;
J HIST SOCIOL;0952-1909;163;0.319;0.459;0.048;21;>10.0;0.00037;0.180;
INT J SOCIOL LAW;0194-6595;141;0.308;0.310;;0;>10.0;0.00018;0.146;
CORNELL HOSP Q;1938-9655;23;0.303;0.394;0.053;38;;0.00003;0.049;
INNOVATION-ABINGDON;1351-1610;114;0.298;;0.238;21;6.2;0.00038;;
AM J ECON SOCIOL;0002-9246;425;0.282;0.381;0.000;39;>10.0;0.00127;0.291;
SOCIOLOGUS;0038-0377;20;0.278;;0.000;5;;0.00007;;
CONTRIB INDIAN SOC;0069-9667;70;0.269;0.476;0.000;11;;0.00030;0.225;
REV FR SOCIOL;0035-2969;281;0.263;0.474;0.036;28;>10.0;0.00083;0.255;
SOC COMPASS;0037-7686;160;0.254;0.404;0.000;34;6.9;0.00045;0.135;
BERL J SOZIOL;0863-1808;83;0.250;0.270;0.111;18;;0.00033;0.114;
HUM STUD;0163-8548;204;0.250;0.248;0.000;24;>10.0;0.00019;0.091;
REV RELIG RES;0034-673X;450;0.210;0.513;0.176;17;>10.0;0.00072;0.225;
SOZ WELT;0038-6073;140;0.195;0.320;0.417;12;>10.0;0.00036;0.173;
SOCIOL PROST;1846-5226;7;0.188;;0.100;10;;0.00000;;
ARCH EUR SOCIOL;0003-9756;151;0.179;0.346;0.000;10;>10.0;0.00024;0.142;
SOCIETY;0147-2011;287;0.155;0.197;0.079;63;>10.0;0.00051;0.080;
REV INT SOCIOL;0034-9712;33;0.154;;0.000;25;;0.00004;;
SOTSIOL ISSLED+;0132-1625;360;0.145;0.144;0.083;204;6.1;0.00122;0.052;
SOCIOLOGIA;0049-1225;120;0.140;0.159;0.045;22;>10.0;0.00019;0.087;
J HIST SEXUALITY;1043-4070;162;0.125;0.412;0.053;19;8.6;0.00036;0.215;
SOCIOL FORSKNIN;0038-0342;13;0.086;0.069;0.000;13;;0.00001;0.004;
CHINESE SOC ANTHROP;0009-4625;11;0.081;0.104;0.000;13;;0.00006;0.038;
POL SOCIOL REV;1231-1413;43;0.080;;0.000;31;;0.00020;;
CONVERGENCIA;1405-1435;11;0.074;;0.000;40;;0.00010;;
DRUS ISTRAZ;1330-0288;68;0.065;0.118;0.000;53;;0.00006;0.012;
TEMPO SOC;0103-2070;30;0.022;;0.000;19;;0.00007;;
EAST EUR COUNTRYSIDE;1232-8855;3;0.000;;;;;0.00000;;
SOCIOL THEOR METHOD;0913-1442;4;0.000;0.056;0.000;18;;0.00003;0.021;

