JCR Year and Edition: 2011 Social Science

Abbreviated Journal Title;ISSN;{2011} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2011} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
LANG SOC;0047-4045;887;1.189;1.594;0.174;23;>10.0;0.00176;0.949;
REV CERCET INTERV SO;1583-3410;105;1.186;;0.367;49;2.1;0.00018;;
SOCIOL QUART;0038-0253;1126;1.143;1.318;0.296;27;>10.0;0.00193;0.698;
INT J INTERCULT REL;0147-1767;1259;1.142;1.735;0.162;74;8.9;0.00234;0.537;
MEDIA CULT SOC;0163-4437;738;1.140;1.275;0.182;55;8.3;0.00250;0.659;
ACTA SOCIOL;0001-6993;487;1.135;1.580;0.043;23;>10.0;0.00142;0.775;
SOC INDIC RES;0303-8300;2387;1.131;1.340;0.164;159;7.4;0.00620;0.485;
CITY COMMUNITY;1535-6841;238;1.095;;0.053;19;5.9;0.00106;;
SOC NATUR RESOUR;0894-1920;1456;1.090;1.544;0.213;94;7.5;0.00326;0.538;
LEISURE SCI;0149-0400;923;1.066;1.612;0.080;25;>10.0;0.00100;0.393;
THEOR SOC;0304-2421;1198;1.056;1.496;0.000;26;>10.0;0.00202;0.912;
J SPORT SOC ISSUES;0193-7235;411;1.050;1.257;0.150;20;9.2;0.00110;0.594;
ANNU REV LAW SOC SCI;1550-3585;195;1.000;1.583;0.105;19;4.4;0.00168;0.891;
ETHNIC RACIAL STUD;0141-9870;1254;1.000;1.361;0.120;100;8.4;0.00393;0.736;
SOC SCI QUART;0038-4941;1908;0.987;1.263;0.118;68;9.3;0.00501;0.735;
SOCIOL THEOR;0735-2751;866;0.974;1.565;0.714;14;>10.0;0.00155;0.991;
BRIT J SOCIOL EDUC;0142-5692;723;0.966;1.174;0.222;45;7.6;0.00239;0.568;
HUM ECOL REV;1074-4827;265;0.917;;0.000;15;8.2;0.00072;;
SOCIOL SPORT J;0741-1235;532;0.917;1.248;0.174;23;>10.0;0.00116;0.521;
RATION SOC;1043-4631;437;0.914;1.093;0.000;18;>10.0;0.00110;0.697;
Z SOZIOL;0340-1804;277;0.911;0.808;0.286;28;7.4;0.00066;0.276;
SOCIOL FORUM;0884-8971;844;0.908;1.142;2.244;41;>10.0;0.00154;0.518;
CURR SOCIOL;0011-3921;522;0.896;;0.043;46;6.5;0.00234;;
SOC JUSTICE RES;0885-7466;516;0.889;;0.000;20;8.1;0.00179;;
WORK OCCUPATION;0730-8884;629;0.886;1.646;0.375;16;>10.0;0.00124;0.823;
J SOCIOL;1440-7833;246;0.881;0.916;0.045;22;7.1;0.00071;0.362;
CORNELL HOSP Q;1938-9655;116;0.878;0.953;0.106;47;2.7;0.00027;0.140;
SOCIOL RELIG;1069-4404;400;0.861;1.087;0.211;19;>10.0;0.00083;0.435;
ANTHROZOOS;0892-7936;463;0.860;1.252;0.235;17;9.8;0.00086;0.382;
INT REV SOCIOL SPORT;1012-6902;427;0.827;;0.148;27;9.4;0.00090;;
ARMED FORCES SOC;0095-327X;425;0.815;0.918;0.086;35;8.9;0.00090;0.311;
MEN MASC;1097-184X;335;0.815;1.170;0.074;27;6.0;0.00136;0.527;
SOCIOL INQ;0038-0245;537;0.788;0.960;0.083;24;>10.0;0.00119;0.517;
QUAL SOCIOL;0162-0436;561;0.780;;0.500;30;>10.0;0.00141;;
J LAW SOC;0263-323X;283;0.760;0.669;0.042;24;9.0;0.00075;0.301;
J CONTEMP ETHNOGR;0891-2416;468;0.755;1.205;0.083;24;9.1;0.00133;0.571;
COMP STUD SOC HIST;0010-4175;798;0.754;0.677;0.176;34;>10.0;0.00167;0.554;
ETHNOGRAPHY;1466-1381;262;0.708;;0.087;23;8.0;0.00103;;
INFORM COMMUN SOC;1369-118X;395;0.700;;0.109;55;4.6;0.00218;;
INT J COMP SOCIOL;0020-7152;227;0.684;;0.185;27;6.1;0.00099;;
EUR SOC;1461-6696;271;0.683;0.837;0.161;31;6.1;0.00136;0.485;
J MATH SOCIOL;0022-250X;475;0.680;0.803;0.364;11;>10.0;0.00051;0.460;
DISCOURSE SOC;0957-9265;795;0.672;1.438;0.152;33;9.5;0.00215;0.803;
SEXUALITIES;1363-4607;439;0.635;;0.212;33;5.9;0.00175;;
MOBILIZATION;1086-671X;298;0.630;0.912;0.280;25;6.7;0.00121;0.577;
SCAND J HOSP TOUR;1502-2250;174;0.630;;0.065;31;4.6;0.00044;;
SOCIOL PERSPECT;0731-1214;619;0.569;0.986;;;>10.0;0.00142;0.556;
SOCIOL REV;0038-0261;1110;0.566;1.184;0.085;47;8.5;0.00309;0.633;
DEVIANT BEHAV;0163-9625;421;0.554;0.955;0.091;33;8.4;0.00076;0.314;
SOC ANIM;1063-1119;230;0.545;0.573;0.048;21;9.2;0.00031;0.165;
BIODEMOGR SOC BIOL;1948-5565;17;0.520;;0.091;11;;0.00022;;
NATIONS NATL;1354-5078;413;0.516;;0.300;40;9.0;0.00164;;
KOLNER Z SOZIOL SOZ;0023-2653;439;0.513;0.866;0.045;22;7.9;0.00102;0.297;
J LEISURE RES;0022-2216;1155;0.508;1.211;0.080;25;>10.0;0.00087;0.323;
HEALTH SOCIOL REV;1446-1242;178;0.493;;0.735;34;4.1;0.00077;;
FILOS-SOCIOL;0235-7186;57;0.492;;0.000;33;;0.00000;;
SOZ WELT;0038-6073;126;0.484;0.422;0.000;12;>10.0;0.00030;0.185;
INT SOCIOL;0268-5809;455;0.480;0.984;0.200;30;8.8;0.00140;0.590;
REV RELIG RES;0034-673X;441;0.457;0.607;0.000;30;>10.0;0.00056;0.219;
SOCIOL RES ONLINE;1360-7804;432;0.446;0.756;0.103;68;6.2;0.00146;0.303;
CULT SOCIOL-LONDON;1749-9755;51;0.444;0.704;0.037;27;;0.00047;0.362;
ECON SOC REV;0012-9984;121;0.444;;;;8.3;0.00046;;
YOUNG;1103-3088;132;0.439;;0.000;20;5.5;0.00056;;
CRIME MEDIA CULT;1741-6590;109;0.433;;0.111;18;4.8;0.00056;;
CAN REV SOCIOL;1755-6171;215;0.412;0.616;0.000;17;>10.0;0.00046;0.290;
SYMB INTERACT;0195-6086;601;0.400;0.622;0.107;28;>10.0;0.00063;0.272;
SOCIOL CAS;0038-0288;159;0.357;0.449;0.429;35;4.5;0.00022;0.065;
SOCIOL TRAV;0038-0296;158;0.333;0.315;0.200;20;>10.0;0.00039;0.170;
SOCIOL SPECTRUM;0273-2173;261;0.312;0.637;0.037;27;7.7;0.00079;0.276;
ARCH EUR SOCIOL;0003-9756;183;0.304;0.493;0.059;17;9.5;0.00050;0.408;
AM J ECON SOCIOL;0002-9246;360;0.302;0.466;0.208;48;>10.0;0.00096;0.252;
RACE CLASS;0306-3968;206;0.302;0.625;0.038;26;9.9;0.00063;0.356;
CONTRIB INDIAN SOC;0069-9667;70;0.296;0.344;0.000;14;;0.00017;0.148;
CAN J SOCIOL;0318-6431;232;0.295;0.471;0.000;13;9.4;0.00043;0.232;
SOCIETY;0147-2011;308;0.260;0.285;0.102;49;>10.0;0.00070;0.123;
REV FR SOCIOL;0035-2969;297;0.241;0.493;0.040;25;>10.0;0.00048;0.185;
INNOVATION-ABINGDON;1351-1610;103;0.217;;0.000;23;7.1;0.00034;;
HUM STUD;0163-8548;237;0.214;0.333;0.174;23;>10.0;0.00036;0.199;
SOCIOL FORSKNIN;0038-0342;21;0.214;0.134;0.000;11;;0.00006;0.040;
REV ESP INVESTIG SOC;0210-5233;112;0.205;;0.045;22;>10.0;0.00016;;
DEVIANCE SOC;0378-7931;62;0.197;0.184;0.050;20;;0.00017;0.069;
SOCIOLOGIA;0049-1225;73;0.191;0.171;0.000;25;;0.00004;0.021;
CONTEMP SOCIOL;0094-3061;182;0.172;0.322;0.500;6;>10.0;0.00013;0.125;
TEMPO SOC;0103-2070;40;0.172;;0.000;22;;0.00016;;
DRUS ISTRAZ;1330-0288;107;0.152;0.143;0.093;54;7.4;0.00011;0.022;
BERL J SOZIOL;0863-1808;74;0.149;0.248;0.130;23;;0.00016;0.072;
SOTSIOL ISSLED+;0132-1625;330;0.144;0.119;0.014;211;7.2;0.00090;0.045;
REV INT SOCIOL;0034-9712;52;0.132;;0.086;35;;0.00015;;
SOCIOLOGUS;0038-0377;21;0.118;;0.000;4;;0.00008;;
SOC COMPASS;0037-7686;136;0.106;0.275;0.028;36;8.8;0.00039;0.126;
J HIST SEXUALITY;1043-4070;100;0.103;0.279;0.000;20;>10.0;0.00031;0.195;
J HIST SOCIOL;0952-1909;119;0.095;0.173;0.077;26;>10.0;0.00016;0.080;
CURR PERSPECT SOC TH;0278-1204;13;0.091;0.100;;;;0.00005;0.070;
EAST EUR COUNTRYSIDE;1232-8855;6;0.083;;;;;0.00001;;
STUD SOCJOLOGICZNE;0039-3371;82;0.079;;0.000;44;;0.00002;;
POL SOCIOL REV;1231-1413;45;0.071;0.130;0.000;27;;0.00011;0.047;
TELOS-US;0090-6514;18;0.062;;0.053;38;;0.00006;;
CONVERGENCIA;1405-1435;16;0.035;;0.000;27;;0.00003;;
CHINESE SOC ANTHROP;0009-4625;15;0.024;0.073;0.000;7;;0.00015;0.083;
STUD SYMB INTERACT;0163-2396;49;0.017;0.042;;;;0.00007;0.031;
SOCIOL PROST;1846-5226;6;0.000;;0.000;10;;0.00002;;
SOCIOL THEOR METHOD;0913-1442;6;0.000;0.039;0.000;23;;0.00003;0.025;

