JCR Year and Edition: 2004 Social Science

Abbreviated Journal Title;ISSN;{2004} Total Cites;Impact Factor;Immediacy Index;{2004} Articles;Cited Half-Life
AM J ECON SOCIOL;0002-9246;175;0.203;0.064;47;7.6;
SOCIOL CAS;0038-0288;61;0.200;0.054;37;;
SOCIOLOGIA;0049-1225;74;0.200;0.056;18;;
TEACH SOCIOL;0092-055X;350;0.197;0.000;9;9.5;
SOC COMPASS;0037-7686;100;0.188;0.172;29;>10.0;
J MATH SOCIOL;0022-250X;254;0.167;0.000;13;>10.0;
DRUS ISTRAZ;1330-0288;67;0.162;0.027;37;;
SOTSIOL ISSLED+;0132-1625;242;0.154;0.031;223;4.8;
SOCIETY;0147-2011;119;0.119;0.032;62;9.2;
INT J SOCIOL LAW;0194-6595;89;0.097;0.333;18;;
SOCIOL FORSKNIN;0038-0342;18;0.077;0.048;21;;
CONTRIB INDIAN SOC;0069-9667;23;0.062;0.000;14;;
STUD SYMB INTERACT;0163-2396;42;0.039;;;;
CHINESE SOC ANTHROP;0009-4625;7;0.000;0.000;6;;
SOCIOL THEOR METHOD;0913-1442;4;0.000;0.000;13;;

