JCR Year and Edition: 2012 Social Science

Abbreviated Journal Title;ISSN;{2012} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2012} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ARCH EUR SOCIOL;0003-9756;181;0.857;0.721;0.091;11;9.3;0.00043;0.362;
CITY COMMUNITY;1535-6841;273;0.850;1.141;0.000;17;6.8;0.00098;0.568;
SOCIOL FORUM;0884-8971;834;0.833;1.269;0.256;43;>10.0;0.00193;0.631;
SOC JUSTICE RES;0885-7466;713;0.829;;3.364;22;7.5;0.00193;;
EUR J SOC THEORY;1368-4310;483;0.811;;0.034;29;6.9;0.00193;;
SYMB INTERACT;0195-6086;666;0.811;0.824;0.042;24;>10.0;0.00101;0.461;
SOCIOL REV;0038-0261;1177;0.806;1.220;0.156;45;8.2;0.00324;0.680;
COMP STUD SOC HIST;0010-4175;793;0.800;0.786;0.062;32;>10.0;0.00227;0.774;
FOOD CULT SOC;1552-8014;74;0.778;;0.036;28;;0.00051;;
J CONTEMP ETHNOGR;0891-2416;555;0.776;1.126;0.083;24;9.2;0.00153;0.689;
SOCIOL PERSPECT;0731-1214;677;0.763;1.000;0.034;29;>10.0;0.00140;0.553;
RATION SOC;1043-4631;484;0.757;1.182;0.000;17;>10.0;0.00134;0.871;
MOBILIZATION;1086-671X;359;0.750;1.069;0.292;24;7.5;0.00137;0.676;
CURR SOCIOL;0011-3921;555;0.741;1.000;0.244;45;7.1;0.00222;0.599;
INT SOCIOL;0268-5809;468;0.732;0.985;0.031;32;9.1;0.00138;0.610;
SOCIOL SPORT J;0741-1235;594;0.727;1.192;0.080;25;>10.0;0.00091;0.417;
ACTA SOCIOL;0001-6993;543;0.714;1.386;0.200;20;>10.0;0.00137;0.775;
INFORM COMMUN SOC;1369-118X;479;0.700;;0.103;58;5.3;0.00226;;
SEXUALITIES;1363-4607;382;0.690;;0.075;53;6.6;0.00129;;
INT J COMP SOCIOL;0020-7152;302;0.652;;0.154;13;6.3;0.00148;;
SOCIOL CAS;0038-0288;180;0.652;0.466;0.111;36;6.2;0.00032;0.103;
SOCIOL RES ONLINE;1360-7804;458;0.619;0.742;0.139;72;6.1;0.00177;0.349;
THEOR SOC;0304-2421;1251;0.614;1.476;0.208;24;>10.0;0.00193;0.875;
Z SOZIOL;0340-1804;278;0.604;0.724;0.208;24;7.9;0.00085;0.362;
QUAL SOCIOL;0162-0436;595;0.603;;0.000;22;>10.0;0.00134;;
NATIONS NATL;1354-5078;435;0.566;;0.114;35;9.5;0.00138;;
ETHNOGRAPHY;1466-1381;348;0.551;;0.080;25;9.0;0.00119;;
YOUNG;1103-3088;141;0.550;;0.000;19;6.8;0.00038;;
EUR SOC;1461-6696;342;0.548;0.913;0.000;31;6.6;0.00126;0.452;
MEN MASC;1097-184X;378;0.547;1.188;0.160;25;6.6;0.00130;0.541;
DEVIANT BEHAV;0163-9625;495;0.492;1.021;0.087;46;9.1;0.00082;0.334;
KOLNER Z SOZIOL SOZ;0023-2653;427;0.481;0.602;0.074;27;10.0;0.00093;0.264;
CAN J SOCIOL;0318-6431;228;0.448;0.402;0.000;10;>10.0;0.00033;0.197;
CAN REV SOCIOL;1755-6171;260;0.444;0.841;0.100;20;>10.0;0.00060;0.420;
CRIME MEDIA CULT;1741-6590;137;0.441;;0.158;19;5.5;0.00065;;
SOCIOL SPECTRUM;0273-2173;298;0.441;0.741;0.032;31;7.2;0.00098;0.354;
HEALTH SOCIOL REV;1446-1242;202;0.435;0.584;1.000;27;4.9;0.00060;0.213;
ARMED FORCES SOC;0095-327X;305;0.426;0.558;0.000;31;8.6;0.00063;0.221;
ECON SOC REV;0012-9984;142;0.409;;0.125;24;8.1;0.00032;;
CULT SOCIOL-LONDON;1749-9755;103;0.391;1.031;0.083;24;4.5;0.00096;0.559;
AM J ECON SOCIOL;0002-9246;381;0.389;0.365;0.061;49;>10.0;0.00082;0.213;
SOC ANIM;1063-1119;312;0.378;0.779;0.227;22;9.9;0.00038;0.208;
INNOVATION-ABINGDON;1351-1610;158;0.375;0.431;0.407;27;7.6;0.00029;0.145;
RACE CLASS;0306-3968;233;0.367;0.574;0.048;21;9.0;0.00052;0.293;
SOCIOL TRAV;0038-0296;135;0.341;0.314;0.045;22;9.4;0.00047;0.230;
REV RELIG RES;0034-673X;423;0.339;0.486;0.000;34;>10.0;0.00052;0.216;
CONTEMP SOCIOL;0094-3061;196;0.333;0.465;0.077;13;>10.0;0.00039;0.521;
REV ESP INVESTIG SOC;0210-5233;106;0.308;;0.000;31;9.2;0.00020;;
J HIST SEXUALITY;1043-4070;145;0.300;0.330;0.000;19;9.9;0.00038;0.241;
BERL J SOZIOL;0863-1808;69;0.283;0.246;0.059;17;;0.00028;0.129;
SOCIETY;0147-2011;274;0.257;0.262;0.059;51;>10.0;0.00061;0.123;
REV INT SOCIOL;0034-9712;53;0.254;0.207;0.000;44;;0.00023;0.094;
SOC COMPASS;0037-7686;171;0.250;0.331;0.000;32;>10.0;0.00038;0.129;
HUM STUD;0163-8548;281;0.244;0.457;0.036;28;>10.0;0.00046;0.252;
SOCIOLOGIA;0049-1225;70;0.240;0.243;0.259;27;;0.00015;0.075;
DRUS ISTRAZ;1330-0288;96;0.189;0.120;0.081;37;;0.00013;0.028;
STUD SYMB INTERACT;0163-2396;76;0.182;0.150;0.222;9;;0.00017;0.076;
J HIST SOCIOL;0952-1909;147;0.170;0.304;0.080;25;>10.0;0.00058;0.287;
CONTRIB INDIAN SOC;0069-9667;59;0.148;0.149;0.000;11;;0.00013;0.112;
CONVERGENCIA;1405-1435;32;0.145;0.084;0.000;27;;0.00009;0.032;
SOTSIOL ISSLED+;0132-1625;361;0.139;0.133;0.047;193;7.1;0.00085;0.045;
REV FR SOCIOL;0035-2969;254;0.137;0.338;0.364;11;>10.0;0.00076;0.321;
SOCIOLOGUS;0038-0377;20;0.133;0.238;0.000;3;;0.00013;0.180;
FILOS-SOCIOL;0235-7186;27;0.068;;0.000;9;;0.00001;;
SOZ WELT;0038-6073;88;0.062;0.090;0.250;8;;0.00005;0.035;
DEVIANCE SOC;0378-7931;64;0.056;0.132;0.000;19;;0.00021;0.093;
EAST EUR COUNTRYSIDE;1232-8855;7;0.045;0.075;;;;0.00003;0.029;
POL SOCIOL REV;1231-1413;21;0.038;0.075;0.000;31;;0.00008;0.034;
SOCIOL FORSKNIN;0038-0342;18;0.038;0.041;0.000;4;;0.00002;0.012;
CHINESE SOC ANTHROP;0009-4625;24;0.033;0.165;;0;;0.00019;0.131;
TELOS-US;0090-6514;12;0.029;;0.000;39;;0.00006;;
STUD SOCJOLOGICZNE;0039-3371;18;0.024;;0.000;19;;0.00000;;
CURR PERSPECT SOC TH;0278-1204;6;0.000;0.038;;;;0.00004;0.045;

