JCR Year and Edition: 2007 Social Science

Abbreviated Journal Title;ISSN;{2007} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2007} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
MEDIA CULT SOC;0163-4437;317;0.641;0.632;0.073;41;7.9;0.00151;0.351;
SOCIOL RURALIS;0038-0199;527;0.641;1.889;0.048;21;6.9;0.00186;0.740;
SOCIOL PERSPECT;0731-1214;402;0.640;0.929;0.000;27;9.6;0.00140;0.536;
ARMED FORCES SOC;0095-327X;239;0.636;0.496;0.133;30;9.7;0.00050;0.169;
SOCIOL QUART;0038-0253;639;0.627;0.758;0.030;33;>10.0;0.00183;0.488;
AGR HUM VALUES;0889-048X;332;0.614;;0.118;34;7.4;0.00103;;
KOLNER Z SOZIOL SOZ;0023-2653;259;0.612;0.606;0.167;24;9.5;0.00075;0.235;
SOCIOL RES ONLINE;1360-7804;241;0.612;0.538;0.382;55;5.8;0.00123;0.268;
SOC INDIC RES;0303-8300;916;0.610;0.938;0.109;119;7.5;0.00249;0.290;
BRIT J SOCIOL EDUC;0142-5692;446;0.609;0.995;0.128;47;6.2;0.00266;0.542;
DEVIANT BEHAV;0163-9625;360;0.569;1.048;0.136;22;8.5;0.00105;0.360;
TEACH SOCIOL;0092-055X;314;0.565;0.656;0.120;25;10.0;0.00038;0.101;
J HIST SOCIOL;0952-1909;114;0.541;0.453;0.038;26;9.3;0.00045;0.226;
SOCIOL SPECTRUM;0273-2173;163;0.525;0.533;0.029;34;7.4;0.00062;0.223;
EUR SOC;1461-6696;105;0.522;;0.062;32;4.9;0.00086;;
J LAW SOC;0263-323X;172;0.519;0.592;0.115;26;7.1;0.00113;0.373;
ACTA SOCIOL;0001-6993;309;0.488;0.766;0.167;24;9.6;0.00089;0.406;
SOCIOL FORUM;0884-8971;455;0.444;0.689;0.083;24;>10.0;0.00163;0.519;
CAN J SOCIOL;0318-6431;169;0.412;0.667;0.071;14;7.3;0.00094;0.395;
J CONTEMP ETHNOGR;0891-2416;273;0.408;0.592;0.038;26;9.6;0.00107;0.355;
SOCIOL RELIG;1069-4404;214;0.400;0.623;0.000;23;7.9;0.00114;0.429;
LANG SOC;0047-4045;506;0.395;0.779;0.048;21;>10.0;0.00123;0.510;
Z SOZIOL;0340-1804;175;0.380;0.426;0.000;27;9.9;0.00067;0.238;
REV RELIG RES;0034-673X;248;0.359;0.514;0.000;24;>10.0;0.00108;0.328;
CAN REV SOC ANTHROP;0008-4948;196;0.341;0.446;0.529;17;>10.0;0.00078;0.333;
SOCIOL TRAV;0038-0296;114;0.340;0.285;0.077;26;7.8;0.00032;0.112;
SYMB INTERACT;0195-6086;454;0.317;0.540;0.147;34;>10.0;0.00088;0.254;
SOC ANIM;1063-1119;162;0.294;0.655;0.000;21;7.0;0.00058;0.227;
RACE CLASS;0306-3968;146;0.289;0.453;0.286;14;7.4;0.00051;0.206;
CONTEMP SOCIOL;0094-3061;164;0.275;0.250;0.200;5;7.8;0.00027;0.161;
ARCH EUR SOCIOL;0003-9756;82;0.269;0.325;0.083;12;;0.00034;0.189;
REV FR SOCIOL;0035-2969;186;0.222;0.380;0.038;26;>10.0;0.00069;0.183;
BERL J SOZIOL;0863-1808;43;0.214;0.187;0.077;26;;0.00028;0.087;
RATION SOC;1043-4631;275;0.200;0.709;0.118;17;>10.0;0.00079;0.429;
COMP STUD SOC HIST;0010-4175;504;0.197;0.471;0.088;34;>10.0;0.00090;0.252;
J HIST SEXUALITY;1043-4070;86;0.194;0.279;0.000;17;;0.00044;0.219;
SOTSIOL ISSLED+;0132-1625;275;0.194;0.137;0.055;237;5.0;0.00071;0.029;
AM J ECON SOCIOL;0002-9246;226;0.192;0.279;0.043;46;8.8;0.00088;0.185;
SOCIETY;0147-2011;157;0.180;0.140;0.000;49;9.4;0.00056;0.075;
SOCIOL CAS;0038-0288;66;0.169;0.174;0.200;40;;0.00013;0.030;
SOZ WELT;0038-6073;94;0.158;0.192;0.118;17;;0.00016;0.067;
INT J SOCIOL LAW;0194-6595;95;0.148;0.316;0.000;13;;0.00030;0.171;
HUM STUD;0163-8548;141;0.128;0.229;0.048;21;>10.0;0.00019;0.080;
SOC COMPASS;0037-7686;76;0.123;0.165;0.000;34;;0.00030;0.081;
SOCIOLOGIA;0049-1225;42;0.116;0.144;0.111;18;;0.00014;0.054;
J POLIT MIL SOCIOL;0047-2697;62;0.061;0.128;;;;0.00009;0.051;
SOCIOL FORSKNIN;0038-0342;11;0.048;0.022;0.059;17;;0.00001;0.005;
DRUS ISTRAZ;1330-0288;52;0.038;0.118;0.000;42;;0.00003;0.005;
SOCIOL THEOR METHOD;0913-1442;1;0.030;0.014;0.000;11;;0.00003;0.015;
POL SOCIOL REV;1231-1413;12;0.021;0.085;0.038;26;;0.00002;0.016;
CHINESE SOC ANTHROP;0009-4625;5;0.000;0.000;0.000;14;;0.00000;0.000;
CONTRIB INDIAN SOC;0069-9667;35;0.000;0.188;0.000;7;;0.00017;0.104;

