JCR Year and Edition: 2012 Social Science

Abbreviated Journal Title;ISSN;{2012} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2012} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
PERSONAL MENT HEALTH;1932-8621;111;1.100;1.093;0.167;30;3.4;0.00064;0.379;
GROUP DYN-THEOR RES;1089-2699;583;1.093;1.424;0.095;21;9.2;0.00171;0.785;
J PSYCHOSOC ONCOL;0734-7332;635;1.036;1.379;0.171;41;7.8;0.00138;0.491;
PERS RELATIONSHIP;1350-4126;1366;0.951;1.608;0.102;49;>10.0;0.00244;0.750;
GEDRAG ORGAN;0921-5077;117;0.943;;0.037;27;5.5;0.00016;;
INT J INTERCULT REL;0147-1767;1308;0.940;1.322;0.149;74;9.3;0.00230;0.494;
J APPL SOC PSYCHOL;0021-9029;4657;0.834;1.102;0.100;150;>10.0;0.00586;0.487;
SOC JUSTICE RES;0885-7466;713;0.829;;3.364;22;7.5;0.00193;;
J SOC PSYCHOL;0022-4545;1955;0.785;1.065;0.107;56;>10.0;0.00191;0.473;
J COMMUNITY APPL SOC;1052-9284;760;0.763;1.186;0.027;37;8.5;0.00144;0.466;
J THEOR SOC BEHAV;0021-8308;544;0.750;1.215;0.087;23;>10.0;0.00102;0.544;
BASIC APPL SOC PSYCH;0197-3533;1099;0.729;1.091;0.056;54;>10.0;0.00159;0.516;
J LOSS TRAUMA;1532-5024;215;0.729;0.817;0.028;36;5.3;0.00085;0.317;
NEBR SYM MOTIV;0146-7875;649;0.571;1.581;5.375;8;>10.0;0.00047;0.622;
ASIAN J SOC PSYCHOL;1367-2223;438;0.544;1.048;0.065;31;8.2;0.00130;0.514;
J DIVERS HIGH EDUC;1938-8926;91;0.538;1.049;0.250;16;;0.00049;0.339;
DEVIANT BEHAV;0163-9625;495;0.492;1.021;0.087;46;9.1;0.00082;0.334;
KOLNER Z SOZIOL SOZ;0023-2653;427;0.481;0.602;0.074;27;10.0;0.00093;0.264;
REV PSICOL SOC;0213-4748;112;0.426;;0.207;29;6.7;0.00012;;
SOC BEHAV PERSONAL;0301-2212;1084;0.410;0.576;0.018;165;7.5;0.00194;0.164;
SOC INFLUENCE;1553-4510;145;0.410;;0.105;19;6.0;0.00060;;
REV INT PSYCHOL SOC;0992-986X;104;0.289;0.535;0.000;8;5.9;0.00045;0.258;
GRUPPENDYNAMIK ORGAN;1618-7849;43;0.200;0.179;0.143;21;;0.00007;0.035;

