JCR Year and Edition: 2012 Social Science

Abbreviated Journal Title;ISSN;{2012} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2012} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
J SOC PERS RELAT;0265-4075;1784;1.131;1.318;0.036;56;>10.0;0.00253;0.523;
INT J PUBLIC OPIN R;0954-2892;502;1.125;1.176;0.179;28;8.0;0.00167;0.765;
MEDIA CULT SOC;0163-4437;764;1.092;1.149;0.094;53;7.9;0.00196;0.505;
J ADVERTISING;0091-3367;1779;1.016;1.859;0.000;15;>10.0;0.00219;0.710;
WRIT COMMUN;0741-0883;375;1.000;1.256;0.294;17;>10.0;0.00129;0.949;
PERS RELATIONSHIP;1350-4126;1366;0.951;1.608;0.102;49;>10.0;0.00244;0.750;
LANG COMMUN;0271-5309;541;0.942;0.739;0.394;33;9.8;0.00072;0.345;
MASS COMMUN SOC;1520-5436;450;0.940;;0.098;41;8.5;0.00086;;
DISCOURSE STUD;1461-4456;564;0.934;1.248;0.533;30;7.1;0.00234;0.877;
J PUBLIC RELAT RES;1062-726X;449;0.875;;0.043;23;8.4;0.00094;;
JOURNALISM STUD;1461-670X;400;0.798;;0.308;52;5.2;0.00163;;
DISCOURSE COMMUN;1750-4813;102;0.771;1.012;0.053;19;4.5;0.00100;0.687;
COMMUN MONOGR;0363-7751;1098;0.768;2.476;0.043;23;>10.0;0.00247;1.140;
TECH COMMUN-STC;0049-3155;269;0.750;0.698;0.176;17;8.7;0.00032;0.188;
PUBLIC RELAT REV;0363-8111;929;0.749;1.098;0.031;127;6.6;0.00165;0.244;
ARGUMENTATION;0920-427X;224;0.717;;0.080;25;8.6;0.00038;;
GAMES CULT;1555-4120;161;0.714;;0.000;21;5.1;0.00080;;
INFORM COMMUN SOC;1369-118X;479;0.700;;0.103;58;5.3;0.00226;;
J APPL COMMUN RES;0090-9882;300;0.681;0.927;0.000;21;8.1;0.00087;0.405;
TRANSLATOR;1355-6509;115;0.667;0.560;0.143;14;9.1;0.00038;0.290;
ENVIRON COMMUN;1752-4032;107;0.645;0.991;0.032;31;3.4;0.00043;0.233;
INT J COMMUN-US;1932-8036;203;0.635;;0.130;77;2.6;0.00178;;
J BROADCAST ELECTRON;0883-8151;980;0.603;1.058;0.027;37;>10.0;0.00136;0.449;
IEEE T PROF COMMUN;0361-1434;281;0.574;0.837;0.000;23;7.7;0.00046;0.214;
RHETOR SOC Q;0277-3945;128;0.568;;0.045;22;9.0;0.00024;;
EUR J COMMUN;0267-3231;420;0.556;1.021;0.091;22;9.3;0.00102;0.600;
INT J CONFL MANAGE;1044-4068;453;0.512;0.825;0.050;20;>10.0;0.00057;0.338;
TEXT TALK;1860-7330;170;0.397;0.663;0.027;37;4.8;0.00121;0.419;
CRIT STUD MEDIA COMM;1529-5036;212;0.365;0.677;0.040;25;7.4;0.00088;0.408;
Q J SPEECH;0033-5630;458;0.357;0.570;0.000;24;>10.0;0.00047;0.268;
CHIN J COMMUN;1754-4750;34;0.354;0.353;0.129;31;;0.00024;0.159;
J MASS COMMUN Q;1077-6990;701;0.354;0.691;;;9.7;0.00129;0.394;
J BUS TECH COMMUN;1050-6519;117;0.353;0.451;0.133;15;9.5;0.00030;0.210;
COMUNICAR;1134-3478;82;0.350;0.293;0.100;40;;0.00013;0.033;
VISUAL COMMUN-US;1470-3572;133;0.347;;0.095;21;6.2;0.00060;;
NARRAT INQ;1387-6740;220;0.295;0.478;;;7.1;0.00051;0.316;
COMMUNICATIONS-GER;0341-2059;122;0.293;0.437;0.059;17;6.7;0.00052;0.287;
TELEV NEW MEDIA;1527-4764;132;0.280;;0.049;41;6.6;0.00039;;
COMMUN CRIT-CULT STU;1479-1420;85;0.277;;0.000;21;;0.00054;;
J MEDIA ECON;0899-7764;101;0.240;0.500;0.000;13;8.6;0.00024;0.242;
MEDIA INT AUST;1329-878X;120;0.188;0.198;0.066;61;6.1;0.00039;0.080;
ASIAN J COMMUN;0129-2986;114;0.177;;0.000;34;5.7;0.00036;;
JAVNOST-PUBLIC;1318-3222;90;0.173;0.277;0.130;23;;0.00038;0.154;
J MASS MEDIA ETHICS;0890-0523;115;0.161;;0.000;16;>10.0;0.00020;;
TIJDSCHR COMMUNWET;1384-6930;27;0.152;0.155;0.000;21;;0.00010;0.056;
CONTINUUM-J MEDIA CU;1030-4312;190;0.129;;0.100;70;4.6;0.00090;;
COMUN SOC-NAVARRA;0214-0039;10;0.102;;0.000;15;;0.00004;;
J AFR MEDIA STUD;2040-199X;17;0.075;0.154;1.167;6;;0.00006;0.052;
ECQUID NOVI-AFR JOUR;0256-0054;16;0.071;;0.000;15;;0.00007;;
ESTUD MENSAJE PERIOD;1134-1629;19;0.063;;;;;0.00009;;

