JCR Year and Edition: 2010 Social Science

Abbreviated Journal Title;ISSN;{2010} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2010} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
MEDIA CULT SOC;0163-4437;626;0.663;1.129;0.070;43;7.7;0.00213;0.543;
J BUS TECH COMMUN;1050-6519;130;0.656;0.776;0.059;17;6.6;0.00045;0.302;
IEEE T PROF COMMUN;0361-1434;356;0.638;1.225;0.133;30;6.9;0.00093;0.400;
INT J PUBLIC OPIN R;0954-2892;384;0.635;1.063;0.045;22;8.0;0.00160;0.644;
CRIT STUD MEDIA COMM;1529-5036;184;0.633;0.756;0.107;28;5.9;0.00070;0.302;
ENVIRON COMMUN;1752-4032;32;0.568;0.644;0.094;32;;0.00008;0.090;
J MASS COMMUN Q;1077-6990;792;0.566;1.028;0.069;29;8.7;0.00167;0.401;
Q J SPEECH;0033-5630;393;0.556;0.703;0.080;25;>10.0;0.00050;0.282;
J PUBLIC RELAT RES;1062-726X;304;0.512;;0.095;21;9.2;0.00084;;
DISCOURSE STUD;1461-4456;441;0.508;1.506;0.065;31;5.7;0.00238;0.757;
TEXT TALK;1860-7330;83;0.493;0.664;0.000;35;;0.00088;0.363;
INT J CONFL MANAGE;1044-4068;433;0.475;0.920;0.100;20;>10.0;0.00061;0.360;
COMUNICAR;1134-3478;117;0.455;;0.025;40;4.6;0.00007;;
DISCOURSE COMMUN;1750-4813;68;0.438;1.083;0.353;17;;0.00046;0.489;
NARRAT INQ;1387-6740;233;0.432;1.021;0.000;16;7.0;0.00074;0.399;
ASIAN J COMMUN;0129-2986;79;0.420;;0.000;28;;0.00033;;
CONTINUUM-J MEDIA CU;1030-4312;113;0.417;;0.014;70;3.4;0.00073;;
VISUAL COMMUN-US;1470-3572;90;0.340;;0.182;22;;0.00024;;
JAVNOST-PUBLIC;1318-3222;89;0.339;0.275;0.050;20;;0.00023;0.083;
ECQUID NOVI-AFR JOUR;0256-0054;12;0.333;;0.000;10;;0.00004;;
RHETOR SOC Q;0277-3945;80;0.333;;0.095;21;;0.00028;;
J MEDIA ECON;0899-7764;126;0.273;0.525;0.250;12;8.7;0.00022;0.192;
TRANSLATOR;1355-6509;95;0.258;0.357;0.000;13;;0.00009;0.065;
MEDIA INT AUST;1329-878X;117;0.226;;0.000;56;6.4;0.00030;;
ESTUD MENSAJE PERIOD;1134-1629;44;0.203;;0.000;26;;0.00004;;
TELEV NEW MEDIA;1527-4764;120;0.179;;0.080;25;5.9;0.00043;;
TIJDSCHR COMMUNWET;1384-6930;26;0.171;;0.043;23;;0.00005;;
COMUN SOC-NAVARRA;0214-0039;28;0.152;;0.087;23;;0.00003;;

