JCR Year and Edition: 2011 Social Science

Abbreviated Journal Title;ISSN;{2011} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2011} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
J HIGH EDUC;0022-1546;1197;1.148;1.793;0.111;27;>10.0;0.00230;0.897;
LANG POLICY-NETH;1568-4555;112;1.133;;0.143;14;4.3;0.00074;;
J EXP EDUC;0022-0973;579;1.088;1.642;0.043;23;>10.0;0.00124;0.832;
ETR&D-EDUC TECH RES;1042-1629;846;1.085;1.653;0.023;44;7.0;0.00168;0.529;
J EDUC BEHAV STAT;1076-9986;912;1.074;2.436;0.129;31;9.7;0.00388;1.924;
ECON EDUC REV;0272-7757;1360;1.069;1.443;0.348;115;7.7;0.00500;0.795;
HIGH EDUC;0018-1560;1579;1.061;1.307;0.100;90;8.7;0.00386;0.525;
J EDUC RES;0022-0671;1169;1.055;1.486;0.111;36;>10.0;0.00164;0.621;
J TEACH PHYS EDUC;0273-5024;617;1.021;1.414;0.800;25;9.3;0.00066;0.281;
INTERNET HIGH EDUC;1096-7516;511;1.015;;0.194;31;6.3;0.00123;;
EDUC TECHNOL SOC;1436-4522;762;1.011;1.210;0.060;84;4.5;0.00232;0.295;
J STUD INT EDUC;1028-3153;278;1.000;;0.000;26;4.7;0.00107;;
LEARN MEDIA TECHNOL;1743-9884;163;1.000;;0.182;22;4.2;0.00084;;
Z ERZIEHWISS;1434-663X;265;0.987;0.854;0.022;92;4.4;0.00090;0.211;
STUD HIGH EDUC;0307-5079;1101;0.982;1.749;0.055;55;7.8;0.00284;0.648;
DISTANCE EDUC;0158-7919;234;0.974;;0.074;27;6.2;0.00048;;
J CURRICULUM STUD;0022-0272;593;0.973;0.973;0.317;41;8.8;0.00105;0.310;
TESOL QUART;0039-8322;1366;0.969;1.349;0.208;24;>10.0;0.00191;0.627;
BRIT J SOCIOL EDUC;0142-5692;723;0.966;1.174;0.222;45;7.6;0.00239;0.568;
METACOGN LEARN;1556-1623;135;0.966;;0.000;15;4.2;0.00089;;
ASIA-PAC EDUC RES;0119-5646;63;0.958;;0.000;50;;0.00022;;
TURK ONLINE J EDUC T;2146-7242;283;0.956;;0.192;130;3.3;0.00023;;
RECALL;0958-3440;184;0.950;;0.214;14;4.9;0.00062;;
INT J EDUC DEV;0738-0593;558;0.947;0.929;0.194;67;6.1;0.00152;0.293;
VOCAT LEARN;1874-785X;57;0.920;1.514;0.077;13;;0.00031;0.456;
COMPUT ASSIST LANG L;0958-8221;294;0.915;;0.000;26;6.4;0.00072;;
PHYS REV SPEC TOP-PH;1554-9178;168;0.902;1.336;0.100;30;4.0;0.00104;0.502;
HIGH EDUC RES DEV;0729-4360;603;0.901;;0.089;56;7.8;0.00143;;
SYSTEM;0346-251X;827;0.875;;0.381;42;9.0;0.00165;;
THINK SKILLS CREAT;1871-1871;93;0.875;;0.235;17;;0.00044;;
J SCI EDUC TECHNOL;1059-0145;517;0.865;;0.045;67;6.4;0.00145;;
CHEM EDUC RES PRACT;1109-4028;299;0.855;;0.085;47;4.6;0.00075;;
INT J EDUC VOCAT GUI;0251-2513;93;0.852;;0.062;16;;0.00034;;
ENVIRON EDUC RES;1350-4622;539;0.847;;0.136;44;7.4;0.00099;;
ASSESS EVAL HIGH EDU;0260-2938;816;0.841;;0.145;55;7.5;0.00164;;
EARLY EDUC DEV;1040-9289;482;0.838;;0.143;42;6.7;0.00172;;
SPORT EDUC SOC;1357-3322;315;0.824;1.099;0.216;37;7.2;0.00070;0.318;
IEEE T LEARN TECHNOL;1939-1382;80;0.823;0.927;0.133;30;;0.00027;0.179;
ACAD PSYCHIATR;1042-9670;687;0.810;1.054;0.661;56;5.2;0.00196;0.306;
INT J BILING EDUC BI;1367-0050;251;0.809;;0.150;40;4.8;0.00115;;
SCH EFF SCH IMPROV;0924-3453;351;0.800;1.155;0.150;20;7.8;0.00087;0.462;
INNOV EDUC TEACH INT;1470-3297;305;0.794;1.012;0.027;37;5.0;0.00099;0.315;
OXFORD REV EDUC;0305-4985;509;0.791;0.917;0.051;39;7.6;0.00180;0.476;
TEACH COLL REC;0161-4681;1432;0.788;1.188;0.500;84;7.6;0.00508;0.642;
LANG EDUC-UK;0950-0782;249;0.780;;0.300;30;6.6;0.00091;;
READ TEACH;0034-0561;581;0.770;0.878;0.147;34;8.2;0.00121;0.286;
J SOC WORK EDUC;1043-7797;478;0.768;1.113;0.314;35;8.2;0.00086;0.312;
COMP EDUC REV;0010-4086;361;0.757;1.038;0.158;19;>10.0;0.00102;0.532;
TEACH HIGH EDUC;1356-2517;457;0.757;0.928;0.088;57;6.1;0.00146;0.338;
EDUC ADMIN QUART;0013-161X;512;0.745;1.385;0.583;24;9.3;0.00121;0.605;
AM J EDUC;0195-6744;430;0.744;1.159;0.176;17;>10.0;0.00143;0.727;
TEACH TEACH;1354-0602;328;0.744;;0.053;38;5.9;0.00129;;
RES TEACH ENGL;0034-527X;329;0.731;0.845;0.133;15;>10.0;0.00042;0.323;
HEALTH EDUC J;0017-8969;488;0.729;;0.071;42;8.4;0.00090;;
J ADOLESC ADULT LIT;1081-3004;347;0.728;0.723;0.054;56;6.4;0.00099;0.241;
J LIT RES;1086-296X;193;0.714;1.086;;;7.2;0.00072;0.561;
SCI EDUC-NETHERLANDS;0926-7220;422;0.702;;0.000;34;7.1;0.00112;;
COMP EDUC;0305-0068;451;0.696;0.858;0.036;28;8.5;0.00099;0.402;
EDUC ASSESS EVAL ACC;1874-8597;27;0.694;0.694;0.059;17;;0.00012;0.176;
J MORAL EDUC;0305-7240;320;0.692;0.721;0.118;34;9.3;0.00053;0.213;
INT REV RES OPEN DIS;1492-3831;228;0.687;;0.143;63;5.5;0.00043;;
J DIVERS HIGH EDUC;1938-8926;56;0.683;0.871;0.050;20;;0.00046;0.404;
TECHNOL PEDAGOG EDUC;1475-939X;121;0.680;;0.111;18;5.3;0.00040;;
J COLL STUDENT DEV;0897-5264;1085;0.678;1.184;0.020;49;>10.0;0.00189;0.487;
ELT J;0951-0893;499;0.677;;0.306;36;9.9;0.00089;;
EDUC REV;0013-1911;361;0.660;0.992;0.103;29;7.7;0.00113;0.465;
J ENVIRON EDUC;0095-8964;735;0.655;;0.111;18;>10.0;0.00051;;
EDUC MANAG ADM LEAD;1741-1432;154;0.638;;0.086;35;4.2;0.00060;;
EDUC POLICY;0895-9048;309;0.623;0.682;0.091;33;7.3;0.00114;0.412;
LANG TEACHING;0261-4448;227;0.622;;0.190;21;6.4;0.00090;;
BRIT J EDUC STUD;0007-1005;305;0.568;1.168;0.000;22;7.7;0.00120;0.612;
EUR J TEACH EDUC;0261-9768;150;0.566;;0.037;27;7.2;0.00042;;
URBAN EDUC;0042-0859;377;0.557;1.007;0.048;62;7.2;0.00121;0.469;
ASIA-PAC J TEACH EDU;1359-866X;143;0.556;;0.200;25;5.2;0.00047;;
EDUC STUD MATH;0013-1954;594;0.549;;0.056;54;>10.0;0.00073;;
LANG TEACH RES;1362-1688;240;0.535;0.911;0.130;23;7.3;0.00086;0.465;
THEOR PRACT;0040-5841;797;0.535;0.719;0.027;37;>10.0;0.00107;0.316;
RACE ETHNIC EDUC-UK;1361-3324;261;0.533;;0.111;36;5.8;0.00097;;
MIND CULT ACT;1074-9039;282;0.531;;0.056;18;10.0;0.00054;;
INT J SCI MATH EDUC;1571-0068;166;0.529;;0.049;61;4.3;0.00055;;
MUSIC EDUC RES;1461-3808;183;0.519;;0.038;26;7.2;0.00023;;
DISCOURSE-ABINGDON;0159-6306;250;0.512;;0.059;51;5.4;0.00115;;
RES PAP EDUC;0267-1522;243;0.511;;0.080;25;6.1;0.00102;;
EUR PHYS EDUC REV;1356-336X;226;0.500;0.774;0.000;22;7.9;0.00031;0.180;
ASIA PAC J EDUC;0218-8791;94;0.492;;0.067;30;;0.00041;;
EDUC RES-UK;0013-1881;435;0.480;0.925;0.000;27;>10.0;0.00074;0.338;
BRIT J RELIG EDUC;0141-6200;110;0.475;;0.136;22;7.0;0.00024;;
FOREIGN LANG ANN;0015-718X;473;0.474;0.676;0.029;34;9.5;0.00099;0.286;
ASIA PAC EDUC REV;1598-1037;123;0.472;0.433;0.048;62;3.4;0.00065;0.163;
AUST J EDUC;0004-9441;126;0.472;0.500;0.000;19;7.0;0.00031;0.177;
COMUNICAR;1134-3478;99;0.470;;0.000;40;;0.00007;;
TEACH PSYCHOL;0098-6283;565;0.465;0.549;0.077;39;9.9;0.00054;0.120;
HIST EDUC;0046-760X;229;0.462;;0.026;38;8.2;0.00106;;
GENDER EDUC;0954-0253;522;0.460;0.897;0.089;56;7.9;0.00139;0.374;
EUR EARLY CHILD EDUC;1350-293X;114;0.458;;0.250;32;4.4;0.00039;;
J EDUC COMPUT RES;0735-6331;637;0.440;;0.077;39;>10.0;0.00096;;
ANTHROPOL EDUC QUART;0161-7761;411;0.439;0.736;0.083;24;>10.0;0.00067;0.332;
J BALT SCI EDUC;1648-3898;42;0.425;;0.095;21;;0.00012;;
QUEST;0033-6297;529;0.424;0.689;0.111;27;>10.0;0.00062;0.191;
STUD CONTIN EDUC;0158-037X;142;0.419;;0.091;22;7.5;0.00028;;
REV EDUC;0034-8082;260;0.409;;0.093;54;5.5;0.00056;;
EUR J EDUC;0141-8211;251;0.403;;0.000;39;7.0;0.00060;;
LITERACY;1741-4350;85;0.400;;0.000;17;;0.00045;;
MATH THINK LEARN;1098-6065;127;0.393;;0.071;14;7.7;0.00037;;
PAEDAGOG HIST;0030-9230;160;0.391;0.394;0.023;43;5.2;0.00065;0.165;
STUD PHILOS EDUC;0039-3746;141;0.391;;0.043;47;7.6;0.00052;;
EDUC GERONTOL;0360-1277;526;0.388;0.554;0.141;64;8.2;0.00077;0.129;
S AFR J EDUC;0256-0100;183;0.380;0.508;0.089;45;5.5;0.00029;0.082;
EDUC URBAN SOC;0013-1245;233;0.379;0.535;0.097;31;8.3;0.00068;0.262;
CURRICULUM INQ;0362-6784;245;0.373;0.589;0.000;33;>10.0;0.00055;0.282;
APPL MEAS EDUC;0895-7347;304;0.372;0.854;0.118;17;9.8;0.00104;0.591;
J PHILOS EDUC;0309-8249;300;0.371;0.563;0.026;38;6.7;0.00081;0.190;
J LEGAL EDUC;0022-2208;176;0.362;0.288;0.263;19;>10.0;0.00025;0.099;
IRISH EDUC STUD;0332-3315;41;0.361;;0.100;20;;0.00017;;
Z PADAGOGIK;0044-3247;230;0.354;0.348;0.185;65;5.6;0.00040;0.066;
RIDE-J APPL THEATRE;1356-9783;64;0.353;;0.000;25;;0.00006;;
INT J INCLUSIVE EDUC;1360-3116;243;0.350;;0.055;73;5.5;0.00068;;
EDUC STUD-UK;0305-5698;305;0.348;0.640;0.085;47;6.8;0.00081;0.225;
J HOSP LEIS SPORT TO;1473-8376;61;0.346;;0.000;29;;0.00012;;
REV ESP PEDAGOG;0034-9461;93;0.333;0.320;0.000;26;;0.00008;0.037;
EDUC PHILOS THEORY;0013-1857;224;0.316;;0.060;83;5.1;0.00121;;
EGIT BILIM;1300-1337;78;0.316;;0.032;95;;0.00008;;
KURAM UYGUL EGIT BIL;1303-0485;136;0.291;;0.018;114;4.6;0.00018;;
J LANG IDENTITY EDUC;1534-8458;108;0.289;;0.000;17;6.9;0.00034;;
AUST EDUC RES;0311-6999;127;0.286;0.519;0.077;26;6.8;0.00029;0.154;
BRIT J MUSIC EDUC;0265-0517;165;0.286;;0.111;18;9.4;0.00013;;
Z SOZIOL ERZIEH SOZI;1436-1957;46;0.283;0.252;0.143;21;;0.00014;0.065;
CULT EDUC;1135-6405;127;0.274;;0.205;39;>10.0;0.00022;;
SCAND J EDUC RES;0031-3831;281;0.268;;0.000;37;8.8;0.00049;;
J ECON EDUC;0022-0485;287;0.250;0.375;0.000;35;>10.0;0.00033;0.102;
HACET U EGITIM FAK;1300-5340;244;0.232;;0.000;80;7.0;0.00017;;
EDUC LEADERSHIP;0013-1784;783;0.231;0.241;0.049;82;>10.0;0.00140;0.135;
ODGOJNE ZNAN;1846-1204;14;0.220;0.133;;0;;0.00003;0.014;
EGIT ARAST;1302-597X;123;0.218;;0.020;50;5.5;0.00016;;
INT J ART DES EDUC;1476-8062;75;0.218;0.317;0.000;35;;0.00006;0.023;
ENGL TEACH-PRACT CRI;1175-8708;53;0.216;;0.139;36;;0.00020;;
AUST J GUID COUNS;1037-2911;72;0.212;;0.000;15;;0.00017;;
J BELIEFS VALUES;1361-7672;64;0.211;;0.040;25;;0.00012;;
PEDAGOG STUD;0165-0645;90;0.200;;0.182;22;;0.00014;;
CADMO;1122-5165;10;0.192;;0.077;13;;0.00001;;
ADULT EDUC QUART;0741-7136;270;0.189;0.616;0.050;20;>10.0;0.00029;0.184;
ENSEN CIENC;0212-4521;101;0.188;;0.100;10;>10.0;0.00016;;
KEDI J EDUC POLICY;1739-4341;20;0.182;;0.000;16;;0.00007;;
PHI DELTA KAPPAN;0031-7217;638;0.172;0.165;0.074;94;>10.0;0.00102;0.097;
LANG CULT CURRIC;0790-8318;171;0.167;;0.056;18;8.8;0.00051;;
REV LAT AM INV MAT E;1665-2436;5;0.167;;0.000;12;;0.00001;;
MOVIMENTO-PORTO ALEG;0104-754X;51;0.157;;0.018;57;;0.00004;;
AUST J EARLY CHILD;0312-5033;78;0.140;;0.000;33;;0.00016;;
ESE-ESTUD SOBRE EDUC;1578-7001;16;0.140;;0.000;21;;0.00002;;
CURRIC MATTERS;1177-1828;22;0.133;;0.000;11;;0.00002;;
EDUC XX1;1139-613X;3;0.103;;0.000;24;;0.00001;;
EDUC CHANGE;1682-3206;28;0.082;;0.000;23;;0.00008;;
ENGL AUST;0046-208X;26;0.079;;0.143;14;;0.00005;;
NEW EDUC REV;1732-6729;26;0.075;;0.019;104;;0.00003;;
ENGL EDUC-UK;0425-0494;34;0.074;;0.048;21;;0.00004;;
PORTA LINGUARUM;1697-7467;12;0.062;;0.000;26;;0.00003;;
AUST J ADULT LEARN;1443-1394;12;0.020;;;;;0.00005;;
RUSS EDUC SOC;1060-9393;7;0.008;0.003;0.000;70;;0.00001;0.001;
BOLEMA-MATH EDUC BUL;0103-636X;9;0.000;;0.000;37;;0.00000;;

