JCR Year and Edition: 2004 Social Science

Abbreviated Journal Title;ISSN;{2004} Total Cites;Impact Factor;Immediacy Index;{2004} Articles;Cited Half-Life
J GEOGR HIGHER EDUC;0309-8265;165;0.413;0.034;29;5.2;
REV HIGH EDUC;0162-5748;219;0.412;0.217;23;6.7;
J EDUC BEHAV STAT;1076-9986;310;0.405;0.308;26;6.3;
HIGH EDUC;0018-1560;452;0.398;0.104;48;8.7;
ECON EDUC REV;0272-7757;399;0.382;0.039;51;6.9;
APPL MEAS EDUC;0895-7347;116;0.371;0.200;15;6.8;
TEACH PSYCHOL;0098-6283;467;0.368;0.000;75;7.1;
TEACH TEACH EDUC;0742-051X;464;0.348;0.019;54;7.2;
EDUC REV;0013-1911;107;0.333;0.050;20;9.1;
COMP EDUC;0305-0068;170;0.321;0.071;28;4.9;
BRIT J EDUC TECHNOL;0007-1013;137;0.311;0.036;56;4.4;
ADULT EDUC QUART;0741-7136;105;0.310;0.176;17;9.2;
J CURRICULUM STUD;0022-0272;280;0.309;0.868;38;6.9;
J ECON EDUC;0022-0485;231;0.306;0.108;37;8.4;
INT J EDUC DEV;0738-0593;129;0.304;0.043;47;5.8;
READ TEACH;0034-0561;416;0.303;0.000;56;9.6;
SCH EFF SCH IMPROV;0924-3453;160;0.303;0.000;18;6.2;
OXFORD REV EDUC;0305-4985;152;0.302;0.111;27;5.5;
J COMPUT ASSIST LEAR;0266-4909;113;0.298;0.000;41;4.4;
RES SCI EDUC;0157-244X;111;0.269;0.000;24;7.6;
FOREIGN LANG ANN;0015-718X;234;0.266;0.093;43;8.9;
J ADOLESC ADULT LIT;1081-3004;122;0.264;0.045;44;3.9;
ANTHROPOL EDUC QUART;0161-7761;233;0.261;0.059;17;>10.0;
EDUC POLICY;0895-9048;100;0.246;0.185;27;6.3;
EDUC GERONTOL;0360-1277;257;0.232;0.000;52;8.1;
EDUC URBAN SOC;0013-1245;130;0.224;0.040;25;7.0;
EDUC RES-UK;0013-1881;200;0.222;0.048;21;8.9;
EDUC LEADERSHIP;0013-1784;513;0.221;0.049;123;9.7;
CURRICULUM INQ;0362-6784;103;0.205;0.118;17;>10.0;
ETR&D-EDUC TECH RES;1042-1629;198;0.200;0.000;27;7.8;
TEACH SOCIOL;0092-055X;350;0.197;0.000;9;9.5;
INNOV EDUC TEACH INT;1470-3297;17;0.194;0.067;30;;
Z PADAGOGIK;0044-3247;115;0.194;0.000;58;9.7;
J ART DESIGN EDUC;0260-9991;30;0.172;;0;;
YOUNG CHILDREN;0044-0728;173;0.162;0.055;73;7.3;
INT J ART DES EDUC;1476-8062;4;0.111;0.000;27;;
EDUC STUD;0305-5698;119;0.109;0.067;30;7.9;
CHINESE EDUC SOC;1061-1932;18;0.009;0.000;55;;
RUSS EDUC SOC;1060-9393;9;0.007;0.000;58;;
AM J EDUC;0195-6744;194;0.000;0.143;14;>10.0;

