JCR Year and Edition: 2009 Social Science

Abbreviated Journal Title;ISSN;{2009} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2009} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
FOREIGN LANG ANN;0015-718X;341;0.378;0.577;0.028;36;9.6;0.00055;0.136;
Z PADAGOGIK;0044-3247;244;0.377;0.380;0.153;59;5.6;0.00060;0.092;
EDUC URBAN SOC;0013-1245;290;0.368;0.545;0.000;30;>10.0;0.00062;0.225;
Z ERZIEHWISS;1434-663X;184;0.339;;0.077;39;3.9;0.00061;;
THEOR PRACT;0040-5841;824;0.338;0.704;0.108;37;>10.0;0.00116;0.300;
ASIA-PAC EDUC RES;0119-5646;15;0.333;;0.043;23;;0.00004;;
RES TEACH ENGL;0034-527X;286;0.320;0.731;0.154;13;>10.0;0.00035;0.251;
S AFR J EDUC;0256-0100;111;0.308;;0.031;32;5.1;0.00014;;
IRISH EDUC STUD;0332-3315;45;0.306;;0.053;19;;0.00013;;
Z SOZIOL ERZIEH SOZI;1436-1957;60;0.280;;0.000;23;;0.00021;;
ASIA PAC J EDUC;0218-8791;64;0.277;;0.000;33;;0.00014;;
CURRICULUM INQ;0362-6784;272;0.273;0.573;0.032;31;>10.0;0.00055;0.323;
EDUC LEADERSHIP;0013-1784;1164;0.271;0.406;0.036;111;>10.0;0.00191;0.151;
PAEDAGOG HIST;0030-9230;43;0.253;;0.000;43;;0.00020;;
ASIA PAC EDUC REV;1598-1037;63;0.250;;0.000;52;;0.00020;;
REV ESP PEDAGOG;0034-9461;71;0.245;;0.000;26;;0.00009;;
AUST J EDUC;0004-9441;155;0.231;;0.000;18;8.8;0.00032;;
ENGL AUST;0046-208X;52;0.231;;0.118;17;;0.00004;;
CADMO;1122-5165;5;0.227;;0.000;16;;0.00000;;
PHI DELTA KAPPAN;0031-7217;1072;0.226;0.384;0.090;122;>10.0;0.00180;0.145;
J HOSP LEIS SPORT TO;1473-8376;29;0.225;;0.000;28;;0.00001;;
KURAM UYGULAMA EGI;1303-0485;67;0.222;;0.019;54;;0.00005;;
AUST EDUC RES;0311-6999;111;0.214;0.398;0.000;6;8.4;0.00020;0.100;
KEDI J EDUC POLICY;1739-4341;11;0.192;;0.000;15;;0.00008;;
INT J ART DES EDUC;1476-8062;54;0.190;0.264;0.000;26;;0.00013;0.044;
TEOR EDUC;1130-3743;9;0.190;;0.000;15;;0.00000;;
ENGL TEACH-PRACT CRI;1175-8708;26;0.188;;0.000;26;;0.00011;;
HACET U EGITIM FAK;1300-5340;103;0.181;;0.000;52;6.7;0.00006;;
EDUC CHANGE;1682-3206;18;0.170;;0.050;20;;0.00014;;
AUST J GUID COUNS;1037-2911;52;0.167;;0.000;6;;0.00013;;
J LEGAL EDUC;0022-2208;205;0.151;0.203;;;>10.0;0.00030;0.083;
J ECON EDUC;0022-0485;263;0.145;0.285;0.071;28;>10.0;0.00049;0.130;
CHINESE EDUC SOC;1061-1932;88;0.131;0.184;0.000;39;;0.00031;0.065;
REV LUSOFONA EDUC;1645-7250;5;0.114;;0.000;19;;0.00000;;
EGIT BILIM;1300-1337;33;0.070;;0.000;55;;0.00002;;
NEW EDUC REV;1732-6729;11;0.064;;0.000;69;;0.00000;;
DIDACT SLOV-PEDAGOS;0353-1392;11;0.063;;0.000;36;;0.00001;;
RUSS EDUC SOC;1060-9393;26;0.032;0.037;0.000;66;;0.00003;0.005;
ODGOJNE ZNAN;1846-1204;2;0.022;;0.000;30;;0.00000;;

