JCR Year and Edition: 2008 Social Science

Abbreviated Journal Title;ISSN;{2008} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2008} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
ACAD PSYCHIATR;1042-9670;505;0.992;1.172;0.629;70;4.0;0.00190;0.312;
BRIT J EDUC STUD;0007-1005;186;0.977;0.886;0.000;20;6.0;0.00100;0.430;
TESOL QUART;0039-8322;912;0.972;1.124;0.034;29;>10.0;0.00144;0.423;
J RES MATH EDUC;0021-8251;582;0.971;1.101;0.333;21;>10.0;0.00073;0.420;
STUD HIGH EDUC;0307-5079;619;0.938;1.366;0.182;44;6.8;0.00176;0.427;
READ WRIT;0922-4777;594;0.935;;0.122;41;8.8;0.00138;;
J EDUC POLICY;0268-0939;431;0.933;1.195;0.095;42;5.8;0.00256;0.607;
INSTR SCI;0020-4277;541;0.917;1.816;0.160;25;9.2;0.00146;0.674;
INTERACT LEARN ENVIR;1049-4820;124;0.914;0.853;0.053;19;6.6;0.00031;0.208;
EDUC TECHNOL SOC;1436-4522;455;0.904;0.982;0.167;84;3.8;0.00098;0.129;
REV RES EDUC;0091-732X;390;0.875;;0.500;10;>10.0;0.00031;;
RES HIGH EDUC;0361-0365;817;0.871;1.266;0.103;39;>10.0;0.00194;0.494;
COMP EDUC REV;0010-4086;336;0.860;1.062;0.000;24;>10.0;0.00150;0.698;
ECON EDUC REV;0272-7757;795;0.804;1.031;0.049;61;8.1;0.00455;0.792;
BRIT EDUC RES J;0141-1926;551;0.791;1.009;0.171;41;6.9;0.00245;0.508;
GENDER EDUC;0954-0253;356;0.782;1.006;0.079;38;6.5;0.00175;0.484;
TEACH TEACH EDUC;0742-051X;1407;0.769;1.367;0.135;163;7.7;0.00273;0.353;
RES TEACH ENGL;0034-527X;248;0.765;0.870;0.182;11;>10.0;0.00072;0.469;
J TEACH PHYS EDUC;0273-5024;498;0.761;1.171;0.086;35;>10.0;0.00066;0.267;
EDUC RES-UK;0013-1881;414;0.750;1.156;0.000;26;8.9;0.00074;0.305;
TEACH SOCIOL;0092-055X;372;0.745;0.718;0.000;30;9.8;0.00012;0.035;
TEACH COLL REC;0161-4681;967;0.742;1.107;0.212;33;6.8;0.00551;0.684;
COMP EDUC;0305-0068;316;0.741;0.984;0.125;24;7.4;0.00112;0.390;
J COLL STUDENT DEV;0897-5264;721;0.714;0.971;0.146;41;9.5;0.00137;0.299;
LANG TEACH RES;1362-1688;124;0.711;;0.000;20;5.7;0.00052;;
J SOC WORK EDUC;1043-7797;328;0.697;0.853;;;7.0;0.00105;0.317;
ETR&D-EDUC TECH RES;1042-1629;584;0.695;1.144;0.188;32;8.4;0.00108;0.335;
INT J SCI EDUC;0950-0693;1350;0.690;1.060;0.174;86;8.2;0.00345;0.387;
QUEST;0033-6297;456;0.677;0.769;0.109;46;>10.0;0.00053;0.166;
J EDUC RES;0022-0671;950;0.667;1.161;0.000;29;>10.0;0.00156;0.455;
OXFORD REV EDUC;0305-4985;366;0.662;0.908;0.130;46;7.3;0.00170;0.470;
SCH EFF SCH IMPROV;0924-3453;309;0.658;1.088;0.080;25;8.3;0.00085;0.423;
URBAN EDUC;0042-0859;248;0.653;0.876;0.000;31;6.9;0.00154;0.575;
HARVARD EDUC REV;0017-8055;1001;0.619;1.176;0.364;22;>10.0;0.00163;0.863;
REV HIGH EDUC;0162-5748;322;0.613;0.822;0.176;17;8.6;0.00129;0.576;
HIGH EDUC;0018-1560;879;0.600;1.119;0.094;85;8.4;0.00249;0.406;
BRIT J SOCIOL EDUC;0142-5692;509;0.573;0.862;0.189;53;7.9;0.00199;0.412;
INT J EDUC DEV;0738-0593;246;0.573;0.588;0.204;54;5.0;0.00071;0.141;
AM J EDUC;0195-6744;393;0.568;0.634;0.900;20;>10.0;0.00093;0.513;
Z ERZIEHWISS;1434-663X;147;0.545;;0.087;69;3.7;0.00040;;
EUR PHYS EDUC REV;1356-336X;170;0.541;;0.050;20;6.6;0.00034;;
EDUC STUD;0305-5698;284;0.516;0.804;0.047;43;7.0;0.00091;0.277;
SPORT EDUC SOC;1357-3322;249;0.511;0.969;0.080;25;7.3;0.00041;0.192;
EDUC URBAN SOC;0013-1245;173;0.500;0.533;0.029;34;6.9;0.00065;0.245;
RES SCI EDUC;0157-244X;230;0.500;0.625;0.125;32;7.7;0.00059;0.238;
TEACH HIGH EDUC;1356-2517;257;0.500;;0.020;51;5.5;0.00074;;
J ADOLESC ADULT LIT;1081-3004;225;0.495;0.457;0.098;41;6.2;0.00094;0.191;
J MORAL EDUC;0305-7240;297;0.492;0.593;0.160;25;7.7;0.00061;0.184;
READ TEACH;0034-0561;454;0.485;0.512;0.132;38;>10.0;0.00118;0.188;
EDUC ADMIN QUART;0013-161X;317;0.477;0.815;0.111;18;9.4;0.00122;0.464;
EDUC REV;0013-1911;240;0.473;0.802;0.040;25;7.1;0.00086;0.319;
MINERVA;0026-4695;247;0.426;0.817;0.000;23;9.1;0.00097;0.382;
EDUC POLICY;0895-9048;223;0.400;0.831;0.000;35;5.9;0.00146;0.485;
J PHILOS EDUC;0309-8249;185;0.395;0.489;0.000;48;6.0;0.00032;0.077;
ADULT EDUC QUART;0741-7136;187;0.387;0.551;0.000;18;>10.0;0.00029;0.166;
J CURRICULUM STUD;0022-0272;391;0.384;0.616;0.132;38;8.8;0.00090;0.230;
CURRICULUM INQ;0362-6784;183;0.379;0.463;0.211;19;>10.0;0.00055;0.311;
REV ESP PEDAGOG;0034-9461;78;0.370;;0.120;25;;0.00001;;
J LEGAL EDUC;0022-2208;249;0.358;0.396;0.077;13;>10.0;0.00052;0.130;
THEOR PRACT;0040-5841;579;0.355;0.765;0.026;38;9.7;0.00163;0.393;
AUST EDUC RES;0311-6999;85;0.350;0.510;0.071;14;;0.00041;0.195;
EDUC GERONTOL;0360-1277;493;0.344;0.640;0.043;69;8.4;0.00056;0.092;
ANTHROPOL EDUC QUART;0161-7761;327;0.326;0.604;0.000;23;>10.0;0.00079;0.321;
TEACH PSYCHOL;0098-6283;598;0.288;0.497;0.149;47;8.7;0.00058;0.079;
Z PADAGOGIK;0044-3247;238;0.277;0.302;0.102;59;6.5;0.00032;0.045;
PHI DELTA KAPPAN;0031-7217;687;0.266;0.324;0.118;110;9.1;0.00316;0.241;
S AFR J EDUC;0256-0100;118;0.262;;0.028;36;5.0;0.00011;;
FOREIGN LANG ANN;0015-718X;253;0.260;0.390;0.000;35;9.4;0.00057;0.128;
J LIT RES;1086-296X;136;0.258;0.500;0.000;11;7.8;0.00055;0.325;
INNOV EDUC TEACH INT;1470-3297;125;0.250;0.586;0.051;39;4.7;0.00048;0.139;
J ECON EDUC;0022-0485;285;0.237;0.294;0.031;32;>10.0;0.00054;0.139;
EDUC LEADERSHIP;0013-1784;764;0.207;0.355;0.026;117;>10.0;0.00291;0.212;
APPL MEAS EDUC;0895-7347;182;0.200;0.440;0.056;18;8.7;0.00077;0.413;
INT J ART DES EDUC;1476-8062;38;0.167;0.181;0.037;27;;0.00005;0.015;
AUST J EDUC;0004-9441;126;0.150;;0.056;18;8.9;0.00040;;
PERSPECT EDUC;0258-2236;85;0.118;0.214;0.075;40;;0.00021;0.044;
Z SOZIOL ERZIEH SOZI;1436-1957;40;0.111;;0.083;24;;0.00015;;
CHINESE EDUC SOC;1061-1932;45;0.082;0.098;0.000;26;;0.00019;0.035;
ASIA PAC EDUC REV;1598-1037;35;0.077;;0.022;46;;0.00011;;
PAEDAGOG HIST;0030-9230;10;0.074;;0.000;43;;0.00006;;
RUSS EDUC SOC;1060-9393;14;0.046;0.027;0.000;50;;0.00002;0.003;

